"property","title","description"
"","गुण सेट","QIDO-RS और WADO-RS मेटाडेटा के अनुरोध के 'includefields' प्राप्ति मापदण्ड और DIFF-RS अनुरोध के 'comparefield' प्राप्ति मापदण्ड का नांमाकित गुण सेट ।"
"dicomDescription","गुण सेट का वर्णन","गुण सेट का का स्वैछिक विषय वर्णन ।"
"dcmAttributeSetType","गुण प्रकार","QIDO-RS और WADO-RS मेटाडेटा के अनुरोध के 'includefields' प्राप्ति मापदण्ड और DIFF-RS अनुरोध के 'comparefield' प्राप्ति मापदण्ड के द्वारा यह गुण सेट इस्तमाल होगा यह निर्दिष्ट करता है ।"
"dcmAttributeSetID","गुण सेट आई.डी.","QIDO-RS और WADO-RS मेटाडेटा के अनुरोध के 'includefields' प्राप्ति मापदण्ड और DIFF-RS अनुरोध के 'comparefield' प्राप्ति मापदण्ड के द्वारा इस्तमाल की गई इस गुण सेट का पहचानकर्ता ।"
"dcmAttributeSetTitle","गुण सेट का नाम","इस गुण सेट का नाम ।"
"dcmAttributeSetNumber","गुण सेट संख्या","गुण सेट्स को ऑर्डर करने की संख्या ।"
"dicomInstalled","स्थापित","यह गुण सेट इस समय आर्काइव डिवाइस पे स्थापित है या नहीं संकेत करनेवाला बूलियन ।"
"dcmTag","गुण टैग","हेक्स स्ट्रिंग के रूप में डाइकोम टैग ।"
"dcmProperty","गुण","गुण इस फॉर्मेट में <नाम>=<मूल्य> ।"
