"property","title","description"
"","यू.आई. (UI) डिवाइस यू.आर.एल. (URL)","मुख्य यू.आई. (UI) यू.आर.एल. (URL) के साथ इस्तमाल किए जानेवाले डिवाइस यू.आर.एल. (URL) का विन्यास ।"
"dcmuiDeviceURLName","डिवाइस यू.आर.एल. (URL) का नाम","कॉन्फ़िगर किए हुए डिवाइस यू.आर.एल. (URL) का नाम ।"
"dcmuiDeviceURL","डिवाइस यू.आर.एल. (URL)","डिवाइस का प्रवेश यू.आर.एल. (URL), उदाहरण के तौर पे http(s)://<myDevice-host>:<myDevice-port> ।"
"dcmuiDeviceURLDescription","वर्णन","डिवाइस यू.आर.एल. (URL) का वर्णन ।"
"dcmuiDeviceURLInstalled","स्थापित","इस यू.आर.एल. (URL) को यू.आई. (UI) में इस्तमाल करें ।"
