"property","title","description"
"","MWL निष्क्रिय समय नियम","MWL निष्क्रिय समय नियम ।"
"cn","नाम","MWL निष्क्रिय समय नियम का मनमाना/सार्थक नाम ।"
"dicomAETitle","MWL SCP AE का नाम","MWL SCP के आर्काइव AE का नाम जिसपे MWL निष्क्रिय समय नियम लागू होगा ।"
"dcmAETitle","अनुसूचित स्टेशन AE का नाम","अनुसूचित प्रक्रिया स्टेप्स के अनुसूचित स्टेशन AE के नाम जिनपे MWL निष्क्रिय समय नियम लागू होगा । यदि निर्दिष्ट नहीं किया गया है, तो MWL SCP द्वारा उपलब्ध कराये गए सारे अनुसूचित प्रक्रिया स्टेप्स पे MWL निष्क्रिय समय नियम लागू होगा ।"
"dcmMWLStatusOnIdle","निष्क्रिय होने पे MWL की स्थिति","निष्क्रिय अनुसूचित प्रक्रिया स्टेप्स की स्थिति को निर्दिष्ट मूल्य से बदले ।"
"dcmDuration","निष्क्रिय समय","समय जिसके बाद मिलान अनुसूचित प्रक्रिया स्टेप्स की स्थिति को निर्दिष्ट अंतिम स्थिति से बदला जाएगा ।"
