"property","title","description"
"","रेस्ट्फुल फॉरवर्ड नियम","रेस्ट्फुल फॉरवर्ड नियम ।"
"cn","नाम","रेस्ट्फुल फॉरवर्ड नियम का मनमाना/सार्थक नाम ।"
"dcmWebAppName","वेब अनुप्रयोग का नाम","वेब अनुप्रयोग का नाम ।"
"dcmTLSAllowAnyHostname","टी.एल.एस. (TLS) किसी भी मेज़बान को अनुमति दे","यदि अन्य सर्वर पे एच.टी.टी.पी.एस. ज़रूरी हो तो और इस कॉन्फिग विकल्प को 'हाँ' सेट किया हो तो, अन्य सर्वर के प्रमाणपत्र को ट्रस्टस्टोर द्वारा मान्य किया जाएगा, लेकिन मेज़बान के नाम की मान्यता नहीं की जाएगी ।"
"dcmTLSDisableTrustManager","टी.एल.एस. (TLS) ट्रस्ट मैनेजर को असक्षम करें","यदि अन्य सर्वर पे एच.टी.टी.पी.एस. ज़रूरी हो तो और इस कॉन्फिग विकल्प को 'हाँ' सेट किया हो तो, ट्रस्टस्टोर को निर्दिष्ट करने की आवश्यकता नहीं है ।"
"dcmURIPattern","अनुरोध यू.आर.एल. (UTL) पैटर्न","सिर्फ वही अनुरोध फॉरवर्ड करें जो दिए गए रेगुलर एक्सप्रेशन से मिलता हो ।अगर ! से उपसर्ग किया हो तो, सिर्फ वही अनुरोध फॉरवर्ड करें जो दिए गए रेगुलर एक्सप्रेशन से न मिलता हो ।"
"dcmRSOperation","रेस्ट्फुल कतृत्व","अन्य आर्काइव पे फॉरवर्ड करने के लिए रेस्ट्फुल कतृत्वों के नाम ।"
