"property","title","description"
"","प्राप्ति व्यू","अस्वीकृति नोट सहेजने पे बर्ताव निर्दिष्ट करता है"
"dcmQueryRetrieveViewID","प्राप्ति व्यू आई.डी.","प्राप्ति व्यू का पहचानकर्ता"
"dcmShowInstancesRejectedByCode","कोड से मिटाए गए दृष्टांतों को दिखाए","निर्दिष्ट किए गए अस्वीकृति कोड से मिटाए हुए दृष्टांतों को प्राप्ति सेवाओं द्वारा दिखाने का संकेत करता है इस फॉर्मेट में (CV, CSD, 'CM'')"
"dcmHideRejectionNoteWithCode","कोड से मिटाए गए दृष्टांतों को छिपाए","निर्दिष्ट किए गए अस्वीकृति कोड से सहेजे गए अस्वीकृति नोटों को प्राप्ति सेवाओं द्वारा छिपाने का संकेत करता है इस फॉर्मेट में (CV, CSD, 'CM'')"
"dcmHideNotRejectedInstances","न मिटाए गए दृष्टांतों को छिपाए","किसी कारण के बिना न मिटाए हुए दृष्टांतों को प्राप्ति सेवाओं द्वारा छिपाने का संकेत करता है"
