"property","title","description"
"","इमेज रीडर","संपीडित डाइकोम दृष्टांतों के असंपीडन में इस्तमाल किए जानेवाले जावा इमेज आई.ओ. इमेज रीडर को निर्दिष्ट करता है ।"
"dicomTransferSyntax","हस्तांतरण वाक्यविन्यास","संपीडित डाइकोम इमेज का हस्तांतरण वाक्यविन्यास ।"
"dcmIIOFormatName","इमेज आई.ओ. रीडर प्रारूप का नाम","इमेज आई.ओ. रीडर प्रारूप का नाम ।"
"dcmJavaClassName","जावा वर्ग का नाम","इमेज आई.ओ. रीडर का पूरी तरह से योग्य जावा वर्ग ।यदि निर्दिष्ट नहीं किया गया है, तो निर्दिष्ट प्रारूप के नाम से पाए जानेवाले किसी भी इमेज रीडर का इस्तमाल करें ।"
"dcmPatchJPEGLS","पैच जे.पी.ई.जी.-एल.एस.","असंपीडन के पहले जे.पी.ई.जी.-एल.एस. पैच करें ।"
"dcmImageReadParam","इमेज वाचन मापदण्ड","इमेज वाचन मापदण्ड (नाम=मूल्य) ।"
