"property","title","description"
"","Bulk Data Descriptor","Bulk Data Descriptor"
"dcmBulkDataDescriptorID","Bulk Data Descriptor ID","Bulk Data Descriptor ID"
"dcmBulkDataExcludeDefaults","Exclude Defaults","Indicates if Attributes specified by the 'Composite Instance Retrieve Without Bulk Data Service Class' shall be implicitly treated as Bulk Data (=false) or not (=true)."
"dcmAttributeSelector","Attribute Selector","Specifies individual Attributes treated as Bulk Data by XPath (e.g. 'DicomAttribute[@tag=""54000100""]/Item/DicomAttribute[@tag=""54001010""]' )."
"dcmBulkDataVRLengthThreshold","VR Length Threshold","Specifies to treat all Attributes with a particular Value Representation (VR) which value length exceeds the specified threshold as Bulk Date. Format: <VR>=<length-threshold>."
