"property","title","description"
"","हस्तांतरण क्षमता विस्तार","DCM4CHE मालकीचे हस्तांतरण क्षमतांचे विशेषता."
"dcmPreferredTransferSyntax","प्राधान्यीकृत हस्तांतरण वाक्यरचना","प्रेझेंटेशन कॉन्टॅक्टमध्ये हस्तांतरण वाक्यरचना निवडण्यासाठी प्राधान्यीकृत हस्तांतरण वाक्यरचना, प्राधान्यानुसार क्रमानुरूप केले जाईल. AE स्तरावर निर्दिष्ट केलेले मूल्य अधिलिखित होतील."
"dcmRelationalQueries","संबंधित चौकश्या","संबंधित चौकश्या सक्षम / अक्षम करा."
"dcmCombinedDateTimeMatching","एकत्रित तारीख वेळ जुळणी","एकत्रित तारीख वेळ जुळणी सक्षम / अक्षम करा."
"dcmFuzzySemanticMatching","अस्पष्ट अर्थपूर्ण जुळणी","व्यक्तींच्या नावांचे अस्पष्ट अर्थपूर्ण जुळणी सक्षम / अक्षम करा."
"dcmTimezoneQueryAdjustment","टाइमझोन प्राप्त करण्याचे समायोजन","टाइमझोन प्राप्त करण्याचे समायोजन सक्षम / अक्षम करा."
"dcmStorageConformance","साठवण कन्फॉर्मन्स","साठवण SCP ची पातळी दर्शवते."
"dcmDigitalSignatureSupport","डिजिटल स्वाक्षरी समर्थन","साठवण SCP च्या डिजिटल स्वाक्षरी समर्थनाची पातळी दर्शवितो."
"dcmDataElementCoercion","डेटा घटक सक्ती","साठवण SCP च्या डेटा घटकांची सक्ती दर्शवते."
