"","UI Cluster Configuration","Configuration of Device URL to use beside the main UI URL"
"dcmuiDeviceClusterName","Name","Cluster Name"
"dcmuiDeviceClusterDescription","Description","Cluster Description"
"dcmuiDeviceClusterLoadBalancer","Load Balancer","Select the Load Balancer"
"dcmuiDeviceClusterKeycloakServer","Keycloak Server","If this cluster doesn't use the same Keycloak select the configured Keycloak"
"dcmuiDeviceClusterDevices","Device","Add the name of the configured devices"
"dcmuiDeviceClusterInstalled","Installed","Use this URL in the UI"
