"","Attribute Set","Named Attribute Set for Query Parameter 'includefields' of QIDO-RS and WADO-RS Metadata or by Query Parameter 'comparefield' of DIFF-RS requests."
"dicomDescription","Attribute Set Description","Unconstrained text description of this Attribute Set"
"dcmAttributeSetType","Attribute Set Type","Specifies if this Attribute Set is used by Query Parameter 'includefields' of QIDO-RS and WADO-RS Metadata or by Query Parameter 'comparefield' of DIFF-RS requests."
"dcmAttributeSetID","Attribute Set ID","ID used by Query Parameter 'includefields' of QIDO-RS and WADO-RS Metadata requests and by Query Parameter 'comparefield' of DIFF-RS requests to refer this Attribute Set."
"dcmAttributeSetTitle","Attribute Set Title","Title of this Attribute Set."
"dcmAttributeSetNumber","Attribute Set Number","Number used to order Attribute Sets."
"dicomInstalled","installed","Boolean to indicate whether this Attribute Set is presently installed on the archive device"
"dcmTag","Attribute Tag","DICOM Tag as hex string"
"dcmProperty","Property","Property in format <name>=<value>"
