"property","title","description"
"","UI アーカイブの 比較 基準","UI アーカイブの 比較 基準"
"dcmuiDiffCriteriaTitle","UI アーカイブの 比較 基準 タイトル","アーカイブの 比較 基準の タイトル"
"dicomDescription","UI アーカイブの 比較 基準 説明","この UI アーカイブの 比較 基準の 制約のない テキスト 説明"
"dcmuiDiffCriteriaNumber","UI アーカイブの 比較 基準 番号","属性 セットの 順序付けに 使用される 属性 セット 番号。"
"dcmuiDiffIncludeMissing","UI 欠落を 含む","欠落して いる 検査を 含めるか どうかを 示します。"
"dcmAttributeSetID","属性 セット ID","比較された 属性を 指定 する 属性 セットの ID"
"dcmuiDiffGroupButton","UI アーカイブの 比較 グループ ボタン","UI アーカイブの 比較 グループ ボタン"
"dcmuiDiffAction","UI アーカイブの 比較 アクション","UI アーカイブの 比較 アクション"
