"property","title","description"
"","ウェブ アプリケーション ドロップダウン リスト","ウェブ アプリケーション ドロップダウン リスト"
"dcmuiWebAppListName","リストの 名前","この 構成の 名前を 定義"
"dcmuiWebAppListDescription","説明","ウェブ アプリケーション リストの 説明"
"dcmuiMode","リスト モード","定義された リストを 表示 する 方法が 二つ あります: 1.) 残りの リストの 上に、行で 区切られて います。 2.) 定義されて いる もののみを 表示 します。('専用')."
"dcmuiWebApps","ウェブ アプリケーション","ウェブ アプリケーション"
"dcmAcceptedUserRole","承認された ユーザーの 役割","この 構成を 使用 できる 役割を 定義し、すべての 役割で 使用できるように 'ユーザー' を 使用 します。('ユーザー名' (次の属性) または 'ユーザーの 役割' (この属性) を 定義 する 必要が あります。)"
"dcmAcceptedUserName","承認された ユーザー名","この 構成を 使用 できる ユーザー名を 定義します。 ('ユーザー名' (この属性) または 'ユーザーの 役割' (以前の属性) を 定義 する 必要が あります。)"
