"property","title","description"
"","アーカイブ 圧縮 規則","アーカイブ 圧縮 規則"
"cn","名前","アーカイブ 圧縮 規則の 任意 / 意味の ある 名前"
"dicomTransferSyntax","DICOM 転送 構文 UID","転送 構文 UID"
"dcmRulePriority","規則の 優先度","規則の 優先度"
"dcmProperty","条件","(SendingHostname|SendingApplicationEntityTitle|ReceivingHostname|ReceivingApplicationEntityTitle|{AttributeTagOrKeyword[number]}|{SequenceTagOrKeyword.AttributeTagOrKeyword})[!]={regEx} 形式で 条件。 「|」 シンボルで 区切る ことに より、 特定の 属性に 複数の 値を 指定できます。 例 : SendingApplicationEntityTitle=FORWARD または Modality=MR|CT または ProcedureCodeSequence.CodeValue=MRProcedure または 00180015=KNEE または 00321034.00080100=RequestingServiceCode または ImageType[3]=LOCALIZER"
"dcmImageWriteParam","画像 書き込み パラメーター","画像 書き込み パラメータ (名前 = 値)は 圧縮 前に 画像 ライターで 設定 します"
"dcmCompressionDelay","圧縮 遅延","ISO-8601 期間 PnDTnHnMn.nS 形式で 圧縮 遅延。 存在しない 場合は 受信時に 圧縮します。"
