"property","title","description"
"","クエリ / 読み出し ビュー","保存された 拒否 ノートの 動作を 指定します"
"dcmQueryRetrieveViewID","クエリ / 読み出し ビュー ID","クエリ / 読み出し ビューの 識別名"
"dcmShowInstancesRejectedByCode","コードに よって 拒否された インスタンスを 見せる","指定された コードに よって 拒否された インスタンスを 形式 (CV, CSD, 'CM') で Q/R サービスが 見せるか どうかを 示します"
"dcmHideRejectionNoteWithCode","拒否 ノート コードを 非表示 する","指定された コードに よって 拒否 ノート コードを 形式 (CV, CSD, 'CM') で Q/R サービスが 非表示 するか どうかを 示します"
"dcmHideNotRejectedInstances","拒否されなかった インスタンスを 非表示に する","指定された コードに よって 何らかの 理由で 拒否されなかった インスタンスを 形式 (CV, CSD, 'CM') で Q/R サービスが 非表示 するか どうかを 示します"
