"property","title","description"
"","Estensione della capacità di trasferimento","attributi di capacità di trasferimento proprietari di dcm4che"
"dcmPreferredTransferSyntax","PreferredTransferSyntax","Sintassi di trasferimento preferita per la selezione della sintassi di trasferimento all'interno di un contesto di presentazione, ordinata per priorità. Sovrascrive i valori specificati a livello AE."
"dcmRelationalQueries","Query relazionali","Abilita/disabilita le query relazionali."
"dcmCombinedDateTimeMatching","Corrispondenza combinata di data e ora","Abilita/disabilita la corrispondenza combinata di data e ora."
"dcmFuzzySemanticMatching","Corrispondenza semantica fuzzy","Abilita/disabilita la corrispondenza semantica fuzzy dei nomi delle persone."
"dcmTimezoneQueryAdjustment","Regolazione della query sul fuso orario","Abilita / disabilita la regolazione della query del fuso orario"
"dcmStorageConformance","Conformità dello storage","Indica il livello di conformità di un SCP di archiviazione"
"dcmDigitalSignatureSupport","Supporto per la firma digitale","Indica il livello di supporto della firma digitale di un SCP di archiviazione"
"dcmDataElementCoercion","Coercizione degli elementi dei dati","Indica la coercizione di elementi di dati di un SCP di archiviazione"
