"property","title","description"
"","Regola di compressione dell'archivio","Regola di compressione dell'archivio"
"cn","Nome","Nome arbitrario/significativo della regola di compressione dell'archivio"
"dicomTransferSyntax","UID della Sintassi di trasferimento DICOM","Un UID della sintassi di trasferimento"
"dcmRulePriority","Priorità delle regole","Priorità delle regole"
"dcmProperty","Condizioni","Condizioni nel formato (SendingHostname|SendingApplicationEntityTitle|ReceivingHostname|ReceivingApplicationEntityTitle|{attributeID})[!]={regEx}"
"dcmImageWriteParam","Parametri di scrittura immagine","Parametri di scrittura immagine (nome=valore) impostati su Image Writer prima della compressione"
"dcmCompressionDelay","Ritardo di compressione","Ritardo di compressione nel formato di durata ISO-8601 PnDTnHnMn.nS. Comprimi in ricezione se assente."
